hypothesis_id,bb_level_ids,contexts,biological_program,matched_control,moa_class,external_triangulation,evidence_summary,confidence_tier,caveats,kill_confirm_experiment
ZSH-0001,bb0=BB_2085420374,zel039_aec7 (primary; HSR program present in hek293/a549 controls at ~5x lower amplitude),"HSF1 / heat-shock response (HSPA1A/B, HSPA6, DNAJB1, HSPD1, HSPH1, HSP90AA1, CRYAB)",HTH-01-015,HSF1_heat_shock_validated (panel annotation: NUAK1/ROCK class),Multi-atlas CRISPR-KO consensus (43 signature sets from 10 perturb-seq datasets; annex_phenomimicry/): the single-atlas HIKESHI-KO resemblance does not reach the strong consensus tiers and HTH-01-015's dominant external signal is the generic RNA/stress hub axis (target_hubness.csv) - external KO support is non-specific; the tier-A basis is package-internal: full triangle (HSP genes - bb level - control) recovered end-to-end by the unsupervised shared program basis (program group zel039_aec7 G02),"Control's pure-measurement signature is the panel's most extreme heat-shock response (mean z=+3.94 across 9 HSP genes; next control +1.83); additive bb-effect vector correlates with the control measurement at r=0.53 over 2,498 shared HVGs (rank 3 of ~260 level effect vectors); cos=0.631, p=0.000 vs 200-draw gene-label-permutation null (weak null: 88-98% of levels match SOME control at p<=0.01 under this gene-label permutation; specificity lives in the rank-1 match identity, not the p-value); 49/50 top-50 neighbors carry the level (hypergeometric p=3.3e-46 vs 11% background); 49-of-50 neighborhood, cluster, and effect-vector lines share one ridge backbone - the independent line is the control's own measurement",A,weak_null,"(i) Pull raw pseudobulks of BB_2085420374 carriers vs non-carriers matched on the other bb positions and confirm HSPA1A/DNAJB1 induction in the unsmoothed data. (ii) HSF1-reporter or HSPA1A qPCR on a handful of carrier compounds in AEC7. (iii) Test whether HTH-01-015's own HSR is on-target (NUAK1/ROCK) or a chemotype off-target - compare against the other ROCK-family controls (fasudil, hydroxyfasudil, HA-100, H-7), none of which is an HSR outlier here, which already weakens the on-target reading"
ZSH-0002,bb1=BB_5422857344,zel039_aec7,CDK4/6-inhibition / cell-cycle + translation axis,palbociclib,CDK_inhibitor,"Multi-atlas CRISPR-KO consensus (annex_phenomimicry/): under the 1000-draw empirical null (validation_empirical_p.csv), palbociclib -> CDK4 reaches p <= 0.05 in 0/30 cells (min p = 0.148) and CDK6 in 0/45 (min p = 0.162); CDK6 KO itself down-regulates Hallmark E2F Targets (pathway z=-11.6) - self-validating the KO panel","cos=0.572, p=0.000 vs 200-draw gene-label-permutation null (weak null: 88-98% of levels match SOME control at p<=0.01 under this gene-label permutation; specificity lives in the rank-1 match identity, not the p-value); the same bb1 level pairs with bb0=BB_2085420374 in the top-ranked sharp SAR series (rank 1 of 900; positive-control calibration)",A,weak_null,(i) Pull raw pseudobulks of BB_5422857344 carriers vs non-carriers matched on the other bb positions and confirm the claimed program in the unsmoothed data; (ii) cell-cycle cytometry + E2F reporter on 3-5 carrier compounds. [template-derived: same raw-pseudobulk + reporter pattern as the narrative-ledger kill/confirm experiments]
ZSH-3755,bb0=BB_2085420374; bb0=BB_8506073726; bb0=BB_1722497045; bb0=BB_2375121697,zel039_aec7,HSF1 / heat-shock grammar program (control-independent),,,"Converges with the HTH-01-015-anchored lead ZSH-0001 (same program, recovered without any control supervision); Reactome 'Cellular Response To Heat Stress' / 'HSF1-dependent Transactivation' enrichment q ~ 1e-17-1e-20","Tight, reproducible cluster family (member-to-centroid cosine 0.95-0.96; seed ARI 0.59-0.68; gene-split-half ARI 0.53-0.54 at k=50); survives regression of the dominant stress axis (PC1, 70% variance) - not just the global stress response; bb-level enrichments q ~ 1e-110; gene-set enrichments are hypergeometric vs the 3,000-HVG background with BH correction; grammar-level statement: 'these building blocks have HSR effects', not 'these compounds are HSR drugs'",B,weak_null,Same raw-pseudobulk check as ZSH-0001 (i): carriers vs matched non-carriers; the bb effect vectors make direct gene-level predictions (HSPA1A/HSPA6/DNAJB1 up)
ZSH-3756,"bb1=BB_9076436922 (zel031_a549); bb4=BB_9076436922 (zel028 grid, model-predicted)",zel031_a549 (measured); zel028_hek293 (model-predicted grid); zel024_hek293 (program lineage),"RNA-processing / splicing-lineage program (MALAT1, HNRNPU, HNRNPA2B1, SF3B1, NONO up; mitochondrial OXPHOS down)",HTH-01-015,HSF1_heat_shock_validated (panel annotation: NUAK1/ROCK class),Same public building-block ID heads HTH-01-015 neighborhoods in two independent libraries; the two grammar models agree on this level's program at r=0.63 despite uncorrelated compound rankings,zel031 measured neighborhood 13/50 carriers (hypergeometric p=4.9e-16); model-predicted grid neighborhood 27/50 (p=2.5e-39; 100% never-measured chemistry); grid neighborhood is NOT unusually coherent vs the query-neighborhood SAR null (p=0.48) nor unusually close (closeness null p=0.11); distinct from the AEC7 heat-shock program of ZSH-0001 - HTH-01-015 shows cell-line-specific phenotypes; grammar-level: no measured carrier has been shown to phenocopy the control,B,weak_null;low_coverage,"Measure 3-5 BB_9076436922-carrying compounds (they exist in zel028 measured and zel031) in hek293/a549 and test the MALAT1/HNRNPU/SF3B1 program in raw data; if measured carriers do not show the program, the model prediction and/or the ridge effect is wrong and the lead dies. Compare against HTH-01-015 target engagement (NUAK1/ROCK) - a splicing/RNA-processing program would be an off-target or downstream signature"
ZSH-3757,"bb0=BB_2371372935 (sub-series & bb1=BB_8930974984, 53 cpds; & bb1=BB_7908408907, 47 cpds)",zel039_aec7,"UPR / ER-stress (IGFBP1, HSPA5, MANF, PDIA6, PTX3, DDIT3)",,,"Two independent metrics converge: chemistry-ring falloff (elite list) and sparse-signature re-ranking (top 6 of zel039 series, coherence z=29-41, sibling Jaccard 0.32-0.45); orthogonal imaging vote: IF coherence p=0.020 (tier-matched null)","Sharpest chemistry-coupled SAR object in the screen: within-phenotype coherence 0.79, chemical coherence 0.97, and the 50 chemically-nearest non-members ANTI-correlate with the series phenotype (ring1=-0.33); falloff 1.12, percentile 1.00 vs 100 size/tier-matched null sets - 1 of only 11/376 zel039 candidates >= 0.95; the broad-program metric had buried these series (global composite ranks 20-168) - sparse-signature metrics promoted them",B,,Raw pseudobulks of series members vs the ring1 chemical neighbors for HSPA5/DDIT3 induction; a UPR reporter (ATF6/XBP1s) on 3-5 members + 3-5 ring1 non-members
ZSH-3758,(micro-cluster members; public compound IDs in sharp_sar_candidates source tables on request),zel039_aec7,Resolution-stable 5-7-compound SAR islands (smallest sharp-SAR units the data support),,,Identical membership at all 5 clustering resolutions (0.2-5.0); chemistry-ring falloff null percentile 0.96-1.00,"5-mer: within-phenotype 0.86, chemical coherence 0.95, falloff null percentile 0.98-1.00, identical membership at all 5 resolutions; 7-mer: 0.81 / 0.93 / 0.96, also resolution-stable; coherence z=2.2-6.2 vs 200 size/tier-matched null sets; both islands are depth-tier-balanced",C,triage_grade,"Raw pseudobulk check: if members' own-device-replicate agreement is below their cross-member agreement, they are artifacts of shared shallow-tier structure (both are tier-balanced, so this is unlikely but cheap to verify)"
ZSH-3759,bb0=BB_8137735199; bb0=BB_6939811422,zel031_a549,"Single-level sharp R-groups: ribosome/translation, mitochondrial, proteostasis driver themes",,,"Metric separates sharp levels from broad chemotypes as designed: the broad HSF1 and translation chemotypes are NOT single-level sharp (sparse ranks 97/111, 85/104) while the genuinely single-level splicing level ranks #17","BB_8137735199 (66 carriers): coherence 0.83, sibling sparse-Jaccard 0.11, nearest chemical analogs anti-correlate (ring1=-0.32), falloff null percentile 1.00; BB_6939811422 (38 carriers): coherence 0.90, falloff percentile 1.00, top composite; carrier coherence itself is non-discriminatory (214/214 levels pass label permutation - shared backbone), so ranking rests on sibling distinctiveness + chemistry-ring falloff",C,triage_grade;weak_null,Raw pseudobulks of BB_8137735199 carriers vs its ring1 chemical analogs (ribosome/mito drivers); a reporter per driver theme
ZSH-3760,"(compound-level control result; METTL3-KO-mimicking library compounds cluster in specific bb1 scaffolds in zel024_hek293 - grammar-level, not yet level-resolved)",zel024_hek293; zel028_a549; zel039_aec7 (control measurements in all three),m6A-writer (METTL3) inhibition phenocopies the METTL3 knockout,STM2457; STC-15,Epigenetic_writer_eraser (METTL3 inhibitor),Multi-atlas CRISPR-KO consensus (43 signature sets from 10 perturb-seq datasets; annex_phenomimicry/): the strongest control result in the dataset - under the 1000-draw random-target empirical null (validation_empirical_p.csv); STM2457 reaches p <= 0.05 in 16/88 cells (8/88 under the hub-matched null; min p = 0.002) and STC-15 in 19/88 (10 hub-matched; min p = 0.005); mechanism transfer from adherent-line drug treatment to KO cell backgrounds with the mismatch stated plainly,"STM2457 -> METTL3 KO z_signed = +8.8 (a549), +15.5 (hek293), +13.7 (aec7); STC-15 -> METTL3 KO z_signed = +14.9, +16.1, +10.3 (same lines); signed rank-enrichment on full gene spaces vs 1,000 random-gene-set nulls; both tails of the 84-score control x target panel are >10x enriched over the ~2.3% null expectation",A,,(i) m6A quantification (dot blot or LC-MS/MS) on 3-5 METTL3-KO-mimicking carrier compounds from the zel024 bb1 scaffold clusters. (ii) Raw-pseudobulk confirmation that carriers reproduce the METTL3-KO-aligned gene program. [template-derived: control-level result already validated; experiments extend it to library carriers]
ZSH-0021,bb0=BB_1722497045,zel039_aec7,Strongest single level->control match in the catalog; program unannotated (control MOA 'Unknown/Other'),BMS-509744,Unknown_Other,"Control's mechanism is unannotated in the panel; under the multi-atlas CRISPR-KO consensus (annex_phenomimicry/) the control itself recovers the ITK knockout under the 1000-draw empirical null (2/25 cells at p <= 0.05, both hub-matched, min p = 0.003) - external evidence for an ITK mechanism the annotation lacks; also a member of the HSF1 grammar-program level set (see ZSH-3755)","cos=0.649, p=0.000 vs 200-draw gene-label-permutation null (weak null: 88-98% of levels match SOME control at p<=0.01 under this gene-label permutation; specificity lives in the rank-1 match identity, not the p-value); strongest single match in the level catalog",B,weak_null,(i) Pull raw pseudobulks of BB_1722497045 carriers vs non-carriers matched on the other bb positions and confirm the claimed program in the unsmoothed data; (ii) pathway reporter per the carrier program's top gene set on 3-5 carrier compounds. [template-derived: same raw-pseudobulk + reporter pattern as the narrative-ledger kill/confirm experiments]
ZSH-0022,bb3=BB_8150738125,zel024_hek293 (grammar-level: pure bb-backbone surface),Unannotated program; control is an ERK5/PKI-class tool compound,ZF135/MRTX-1719,Unknown/Other,"Grid-arm watch-list: this control's model-predicted neighborhood closeness was the only p<0.05 among 35 controls (emp p=0.012) - single-test pass, recorded not promoted; in the multi-atlas CRISPR-KO consensus the control recovers the PRMT5 knockout (1000-draw empirical null: 4/40 cells at p <= 0.05, all hub-matched, min p = 0.008; annex_phenomimicry/)","cos=0.636, p=0.000 vs 200-draw gene-label-permutation null (weak null: 88-98% of levels match SOME control at p<=0.01 under this gene-label permutation; specificity lives in the rank-1 match identity, not the p-value); zel024 is a pure-backbone context, so the match is a statement about bb-grammar space, not measured compound biology",B,weak_null;triage_grade,(i) Pull raw pseudobulks of BB_8150738125 carriers vs non-carriers matched on the other bb positions and confirm the claimed program in the unsmoothed data; (ii) pathway reporter per the carrier program's top gene set on 3-5 carrier compounds. [template-derived: same raw-pseudobulk + reporter pattern as the narrative-ledger kill/confirm experiments]
